Company Name,Industry,Symbol,Series,ISIN Code,Tier
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035,2
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027,2
Valor Estate Ltd.,Consumer Services,DBREALTY,EQ,INE879I01012,2
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020,2
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034,2
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024,2
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,2
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,2
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020,2
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,2
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025,2
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019,2
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028,2
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027,2
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027,2
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010,2
AGI Greenpac Ltd.,Capital Goods,AGI,EQ,INE415A01038,3
ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD,EQ,INE491J01022,3
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016,3
Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ,INE0LRU01027,3
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025,3
Aditya Vision Ltd.,Consumer Services,AVL,EQ,INE679V01027,3
Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ,INE837H01020,3
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014,3
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029,3
Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,EQ,INE133A01011,3
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029,3
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027,3
Apeejay Surrendra Park Hotels Ltd.,Consumer Services,PARKHOTELS,EQ,INE988S01028,3
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021,3
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021,3
Arvind Ltd.,Textiles,ARVIND,EQ,INE034A01011,3
Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ,INE442H01029,3
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029,3
Aurionpro Solution Ltd.,Information Technology,AURIONPRO,EQ,INE132H01018,3
Avalon Technologies Ltd.,Capital Goods,AVALON,EQ,INE0LCL01028,3
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,3
Awfis Space Solutions Ltd.,Services,AWFIS,EQ,INE108V01019,3
Azad Engineering Ltd.,Capital Goods,AZAD,EQ,INE02IJ01035,3
Bajaj Hindusthan Sugar Ltd.,Fast Moving Consumer Goods,BAJAJHIND,EQ,INE306A01021,3
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027,3
Balu Forge Industries Ltd.,Capital Goods,BALUFORGE,BE,INE011E01029,3
Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA,EQ,INE213C01025,3
Bansal Wire Industries Ltd.,Capital Goods,BANSALWIRE,EQ,INE0B9K01025,3
Bhansali Engineering Polymers Ltd.,Chemicals,BEPL,EQ,INE922A01025,3
Bharat Bijlee Ltd.,Capital Goods,BBL,EQ,INE464A01036,3
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012,3
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020,3
Bombay Dyeing & Manufacturing Co. Ltd.,Textiles,BOMDYEING,EQ,INE032A01023,3
Borosil Ltd.,Consumer Durables,BOROLTD,EQ,INE02PY01013,3
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022,3
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010,3
CMS Info Systems Ltd.,Services,CMSINFO,EQ,INE925R01014,3
